monthly_mortgage,monthly_cash_flow,annual_cash_flow,roi,address
6.44,1993.56,23922.72,7974.24,"6740 Jacobs Way, 6740 Jacobs Way #15807097, Madison, WI 53711"
5.8,1994.2,23930.4,8863.11,"206 Davidson St APT 2, Madison, WI 53716"
15.03,1984.97,23819.64,3402.81,"426 W Wilson St, Madison, WI 53703"
7.62,1992.38,23908.56,6734.81,"Sunset Terrace, 810 Jupiter Dr #101, Madison, WI 53718"
4.62,1995.38,23944.56,11137.0,"126 S Franklin St, 126 S Franklin St #126-2C, Madison, WI 53703"
4.62,1995.38,23944.56,11137.0,"135 S Hancock St, 135 S Hancock St APT 209, Madison, WI 53703"
6.98,1993.02,23916.239999999998,7358.84,"127 South Butler Street, 127 S Butler St APT 301, Madison, WI 53703"
8.58,1991.42,23897.04,5977.25,"1337 Carpenter St, Madison, WI 53704"
18.68,1981.32,23775.84,2732.86,"Clover Commons, 1320 Bowen Ct #14240588, Madison, WI 53715"
6.07,1993.93,23927.16,8460.81,"Parker Place, 2401 Parker Pl, Madison, WI 53713"
6.16,1993.84,23926.079999999998,8336.61,"2121, 2121 Center Ave APT 2, Madison, WI 53704"
8.57,1991.43,23897.16,5989.26,"1945 Winnebago St, Madison, WI 53704"
6.22,1993.78,23925.36,8255.82,"213-215 S Broom St, 213-215 S Broom St #4, Madison, WI 53703"
6.66,1993.34,23920.079999999998,7716.15,"RM 405 Eugenia Avenue - 2N, 405 Eugenia Ave APT 2N, Madison, WI 53705"
