address,price
"6160 Dell Dr, Madison, WI",
"354 Kent Ln, Madison, WI",
"1723 Waldorf Blvd, Madison, WI",
"6740 Jacobs Way, 6740 Jacobs Way #15807097, Madison, WI 53711",1500.0
"911 E Johnson St, Madison, WI",
"102 N Orchard St, Madison, WI",
"132 E Wilson St, Madison, WI",
"206 Davidson St APT 2, Madison, WI 53716",1350.0
"4702 Madison Yards Way, Madison, WI",
"426 W Wilson St, Madison, WI 53703",3500.0
"1113 Catalpa Cir, Madison, WI",
"2517 Pheasant Ridge Trl, Madison, WI",
"2015 E Springs Dr, Madison, WI",
"7449 Weekend Way, Madison, WI",
"319 E Hill Pkwy, Madison, WI",
"Sunset Terrace, 810 Jupiter Dr #101, Madison, WI 53718",1775.0
"126 S Franklin St, 126 S Franklin St #126-2C, Madison, WI 53703",1075.0
"135 S Hancock St, 135 S Hancock St APT 209, Madison, WI 53703",1075.0
"127 South Butler Street, 127 S Butler St APT 301, Madison, WI 53703",1625.0
"2525 University Ave, Madison, WI",
"408 Highland Ave, Madison, WI",
"1337 Carpenter St, Madison, WI 53704",1999.0
"6853 Littlemore Dr, Madison, WI",
"Clover Commons, 1320 Bowen Ct #14240588, Madison, WI 53715",4350.0
"525 E Main St, Madison, WI",
"179 W Wilson St, Madison, WI",
"Parker Place, 2401 Parker Pl, Madison, WI 53713",1414.0
"1124-1148 Morraine View Dr, Madison, WI",
"2121, 2121 Center Ave APT 2, Madison, WI 53704",1435.0
"1001 Grant St, Madison, WI",
"3205 Stevens St, Madison, WI",
"6431 Bridge Rd, Madison, WI",
"216 S Pinckney St, Madison, WI",
"5601 Fraser Cir, Madison, WI",
"1945 Winnebago St, Madison, WI 53704",1995.0
"251 S Yellowstone Dr, Madison, WI",
"213-215 S Broom St, 213-215 S Broom St #4, Madison, WI 53703",1449.0
"1868 E Washington Ave, Madison, WI",
"722 Brandie Rd, Madison, WI",
"7602 Midtown Rd, Madison, WI",
"RM 405 Eugenia Avenue - 2N, 405 Eugenia Ave APT 2N, Madison, WI 53705",1550.0
